X,Y,ID,X_MIN,X_MAX,Y_MIN,Y_MAX,PNTCNT,X,Y
598879,5205784,17,598379.000000000000000,599379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,598879.000,5205784
599879,5205784,18,599379.000000000000000,600379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,599879.000,5205784
600879,5205784,19,600379.000000000000000,601379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,600879.000,5205784
601879,5205784,20,601379.000000000000000,602379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,601879.000,5205784
602879,5205784,21,602379.000000000000000,603379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,602879.000,5205784
603879,5205784,22,603379.000000000000000,604379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,603879.000,5205784
604879,5205784,23,604379.000000000000000,605379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,604879.000,5205784
605879,5205784,24,605379.000000000000000,606379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,605879.000,5205784
606879,5205784,25,606379.000000000000000,607379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,606879.000,5205784
607879,5205784,26,607379.000000000000000,608379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,607879.000,5205784
608879,5205784,27,608379.000000000000000,609379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,608879.000,5205784
609879,5205784,28,609379.000000000000000,610379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,609879.000,5205784
610879,5205784,29,610379.000000000000000,611379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,610879.000,5205784
611879,5205784,30,611379.000000000000000,612379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,611879.000,5205784
612879,5205784,31,612379.000000000000000,613379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,612879.000,5205784
613879,5205784,32,613379.000000000000000,614379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,613879.000,5205784
614879,5205784,33,614379.000000000000000,615379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,614879.000,5205784
615879,5205784,34,615379.000000000000000,616379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,615879.000,5205784
616879,5205784,35,616379.000000000000000,617379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,616879.000,5205784
617879,5205784,36,617379.000000000000000,618379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,617879.000,5205784
618879,5205784,37,618379.000000000000000,619379.000000000000000,5205284.000000000000000,5206284.000000000000000,0,618879.000,5205784
581879,5204784,38,581379.000000000000000,582379.000000000000000,5204284.000000000000000,5205284.000000000000000,0,581879.000,5204784
582879,5204784,39,582379.000000000000000,583379.000000000000000,5204284.000000000000000,5205284.000000000000000,0,582879.000,5204784
583879,5204784,40,583379.000000000000000,584379.000000000000000,5204284.000000000000000,5205284.000000000000000,0,583879.000,5204784
584879,5204784,41,584379.000000000000000,585379.000000000000000,5204284.000000000000000,5205284.000000000000000,0,584879.000,5204784
585879,5204784,42,585379.000000000000000,586379.000000000000000,5204284.000000000000000,5205284.000000000000000,0,585879.000,5204784
586879,5204784,43,586379.000000000000000,587379.000000000000000,5204284.000000000000000,5205284.000000000000000,0,586879.000,5204784
587879,5204784,44,587379.000000000000000,588379.000000000000000,5204284.000000000000000,5205284.000000000000000,0,587879.000,5204784
588879,5204784,45,588379.000000000000000,589379.000000000000000,5204284.000000000000000,5205284.000000000000000,0,588879.000,5204784
589879,5204784,46,589379.000000000000000,590379.000000000000000,5204284.000000000000000,5205284.000000000000000,0,589879.000,5204784
590879,5204784,47,590379.000000000000000,591379.000000000000000,5204284.000000000000000,5205284.000000000000000,0,590879.000,5204784
591879,5204784,48,591379.000000000000000,592379.000000000000000,5204284.000000000000000,5205284.000000000000000,0,591879.000,5204784
592879,5204784,49,592379.000000000000000,593379.000000000000000,5204284.000000000000000,5205284.000000000000000,0,592879.000,5204784
593879,5204784,50,593379.000000000000000,594379.000000000000000,5204284.000000000000000,5205284.000000000000000,0,593879.000,5204784
594879,5204784,51,594379.000000000000000,595379.000000000000000,5204284.000000000000000,5205284.000000000000000,0,594879.000,5204784
595879,5204784,52,595379.000000000000000,596379.000000000000000,5204284.000000000000000,5205284.000000000000000,0,595879.000,5204784
596879,5204784,53,596379.000000000000000,597379.000000000000000,5204284.000000000000000,5205284.000000000000000,0,596879.000,5204784
